,budget,popularity,revenue,runtime,vote_count,release_date,Action,Adventure,Fantasy,ScienceFiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Horror,Romance,Mystery,War,Music,History,Rating
78,0.4473684310526316,0.06437872510212841,0.1073794335788434,1.018018028018018,0.1256007089951944,0.046559679474018754,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.2
80,0.40789474684210525,0.23116218908211206,0.1580376909790373,1.135135145135135,0.26438037988495705,0.07333546208962338,1.00000001,1.00000001,1e-08,1.00000001,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.5
26,0.5263157994736842,0.10640941634830156,0.3976237170432152,1.2882882982882882,0.5536624535707005,0.1504846755013507,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.8
285,0.13157895736842104,0.07880385555488752,0.19704993632857887,0.954954964954955,0.3419979712640163,0.15986017208485617,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.0
618,0.005263167894736842,0.023837735909686596,0.0049611564162499395,0.900900910900901,0.04113878967088976,0.21937073938185284,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.2
84,0.39473685210526316,0.08108122754126719,0.20995565568918864,0.90990991990991,0.3533566431731469,0.2916732977800731,1.00000001,1e-08,1e-08,1.00000001,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,7.2
431,0.07368422052631578,0.0701459231471635,0.01907542821380061,1.018018028018018,0.08235038134119703,0.09542349641347528,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,6.5
451,0.06052632578947369,0.03359823597720832,0.01655430625543227,0.954954964954955,0.04812874161497015,0.05363102859208645,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,7.4
495,0.05263158894736842,0.03486966057832444,0.013130283105173932,0.900900910900901,0.06917140944662879,0.06531067264102972,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.6
177,0.23684211526315788,0.05451884055228707,0.08343628798090859,1.4234234334234233,0.17722441658220475,0.1755919375385349,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,7.8
368,0.09210527315789473,0.09406048625323093,0.16473328486830183,0.900900910900901,0.4494684824042522,0.2488479362672811,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.8
244,0.011052641578947368,0.013435575803952536,0.013765066520594801,1.027027037027027,0.015654589874763362,0.9690926526187829,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.4
381,0.09210527315789473,0.04018254803078533,0.018064723304639745,1.108108118108108,0.059924285520605795,0.06205308484506595,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.1
338,0.07894737842105262,0.044213506663720196,0.046911069829925336,1.018018028018018,0.09210718926314256,0.19950739916256158,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,6.9
122,0.33421053631578945,0.13225837457971235,0.1253331010165734,0.8738738838738739,0.1347750209217999,0.08827269393453042,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.2
5,0.6789473784210527,0.13237514519676205,0.3195418974339727,1.2522522622522523,0.2603757199169943,0.30970921069918955,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.2
10,0.7105263257894737,0.06627420622283636,0.14027479099477363,1.3873873973873874,0.1019368091845056,0.33410139248847925,1.00000001,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.1
198,0.19736843105263158,0.07843062800931164,0.247926605359119,1.2792792892792793,0.6884374644925004,0.1685205884204672,1e-08,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.2
157,0.2631579047368421,0.09395755040461741,0.15257302462756803,1.4864864964864863,0.735328392117373,0.14563802048784363,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,8.4
