,budget,popularity,revenue,runtime,vote_count,release_date,Action,Adventure,Fantasy,ScienceFiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TVMovie,vote_average
559,0.18947369421052632,0.012809445212872663,0.013385241462907484,0.44970415201183433,0.013670748801628854,0.15963683962074324,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.6
3812,0.01000001,0.019683784541074743,0.00849720284881418,0.35798817568047336,0.027705071082024434,0.40995720388172424,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.7
3584,0.013157904736842104,0.026262676720596553,0.008896867824963142,0.39644971414201186,0.0347585905700989,0.018594769658641656,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.1
1022,0.12368422052631578,0.022300233735361732,0.036882034269050686,0.28402367863905326,0.04319372727748691,0.21471222746598687,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.7
3618,0.013157904736842104,0.006108461573209411,0.0025932992896373634,0.34911243603550296,0.006617229313554392,0.39005372213567086,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,6.4
2729,0.03421053631578948,0.0076930956809465574,0.03530961787817068,0.31065089757396447,0.011198381146015126,0.06859885941516482,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,4.8
3502,0.01578948368421053,0.0027463294865724087,2.4937500105384214e-05,0.2514792999408284,0.0018179273938336241,0.09283748307576956,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,4.7
2834,0.031578957368421055,0.013145883414919473,0.011174983153456853,0.27514793899408285,0.015852249674229206,0.15963683962074324,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.3
1008,0.12894737842105264,0.13328325660837748,0.037446514795488495,0.35502959579881654,0.2226585323967423,0.028192064966327673,1.00000001,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.6
3425,0.01710527315789474,0.012725714553502314,0.010205167206834133,0.28994083840236684,0.014252482367655613,0.18654743754314693,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1.00000001,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.0
